Time (s)	Horizontal Distance (m)	Vertical Distance (m)
0.473252426941916	5.915655336773952	9.148773091287032
0.47767534681987783	5.970941835248475	9.223923316587408
0.4820982666978397	6.026228333722997	9.298881832129364
0.4865211865758015	6.081514832197521	9.3736486379129
0.4909441064537633	6.136801330672043	9.448223733938018
0.49536702633172514	6.1920878291465655	9.522607120204716
0.499789946209687	6.247374327621089	9.596798796712996
0.5042128660876488	6.302660826095612	9.670798763462855
0.5086357859656107	6.357947324570135	9.744607020454294
0.5130587058435725	6.413233823044658	9.818223567687316
0.5174816257215343	6.468520321519181	9.891648405161916
0.5219045455994962	6.523806819993704	9.964881532878099
0.526327465477458	6.579093318468227	10.037922950835863
0.5307503853554199	6.63437981694275	10.110772659035206
0.5351733052333816	6.689666315417272	10.183430657476128
0.5395962251113434	6.7449528138917945	10.255896946158634
0.5440191449893053	6.800239312366318	10.32817152508272
0.5484420648672671	6.855525810840841	10.400254394248385
0.5528649847452289	6.9108123093153635	10.472145553655633
0.5572879046231908	6.966098807789887	10.54384500330446
0.5617108245011526	7.02138530626441	10.615352743194869
0.5661337443791145	7.0766718047389325	10.686668773326858
0.5705566642570763	7.131958303213456	10.757793093700428
0.5749795841350381	7.187244801687979	10.828725704315577
0.579402504013	7.242531300162502	10.899466605172309
0.5838254238909618	7.297817798637025	10.970015796270621
0.5882483437689237	7.353104297111548	11.040373277610513
0.5926712636468855	7.408390795586071	11.110539049191987
0.5970941835248473	7.463677294060594	11.18051311101504
0.6015171034028091	7.518963792535115	11.250295463079674
0.6059400232807709	7.574250291009639	11.319886105385889
0.6103629431587327	7.6295367894841615	11.389285037933684
0.6147858630366946	7.684823287958684	11.45849226072306
0.6192087829146564	7.740109786433208	11.527507773754017
0.6236317027926183	7.7953962849077305	11.596331577026556
0.6280546226705801	7.850682783382253	11.664963670540674
0.6324775425485419	7.905969281856777	11.733404054296374
0.6369004624265038	7.9612557803312995	11.801652728293654
0.6413233823044656	8.016542278805822	11.869709692532513
